id,year,parl_code,name,party_code,votes
1216,2013,P111,SITI MARIAH BINTI MAHMUD,PAS,59106
1217,2013,P112,SHARUDDIN BIN OMAR,UMNO,35625
1218,2013,P112,KOTTAPPAN A/L SUPPAIAH,IND,426
1219,2013,P112,ABDULLAH SANI BIN ABDUL HAMID,PKR,40983
1220,2013,P113,HANAPIAH BIN MOHAMAD,IND,318
1221,2013,P113,SUHAIMI BIN MOHD GHAZALI,IND,963
1222,2013,P113,MOHD ZIN BIN MOHAMED,UMNO,35670
1223,2013,P114,YEE POH PING,IND,2757
1224,2013,P114,TAN SENG GIAW @ TAN CHUN TIN,DAP,47837
1225,2013,P114,CHANDRAKUMANAN A/L ARUMUGAM,PPP,7530
1227,2013,P115,CHUA TIAN CHANG,PKR,41672
1228,2013,P115,ATAN BIN JASIN,IND,164
1229,2013,P115,HASHIM BIN ABDUL KARIM,BERJASA,949
1230,2013,P115,DOMINIC LAU HOE CHAI,GERAKAN,28388
1231,2013,P115,NAZARIAH BINTI ABBAS,IND,209
1232,2013,P116,MOHD SHAFEI BIN ABDULLAH,UMNO,26130
1233,2013,P116,TAN KEE KWONG,PKR,31641
1234,2013,P117,LIM LIP ENG,DAP,41383
1235,2013,P117,JAYANTHI DEVI A/P BALAGURU,GERAKAN,22184
1236,2013,P118,AHMAD FAUZI BIN ZAHARI,UMNO,26809
1237,2013,P118,IBRAHIM BIN YAACOB,PKR,25419
1238,2013,P119,JOHARI BIN ABDUL GHANI,UMNO,23034
1239,2013,P119,AHMAD ZAMRI BIN ASA'AD KHUZAMI,PAS,22168
1240,2013,P120,GAN JOON ZIN,MCA,11009
1241,2013,P120,FONG KUI LUN,DAP,30408
1242,2013,P121,NURUL IZZAH BINTI ANWAR,PKR,31008
1243,2013,P121,RUSLI BIN BABA,IND,167
1244,2013,P121,RAJA NONG CHIK BIN RAJA ZAINAL ABIDIN,UMNO,29161
1245,2013,P122,TERESA KOK SUH SIM,DAP,61500
1246,2013,P122,WONG SIAW TING,MCA,9948
1247,2013,P123,TEOH CHEE HOOI,MCA,10840
1248,2013,P123,TAN KOK WAI,DAP,48249
1249,2013,P124,MOHAMAD SUKERI BIN ABDUL SAMAT,IND,793
1250,2013,P124,MOKHTAR BIN SALAHUDIN,IND,191
1251,2013,P124,TAN KOK ENG,MCA,32235
1252,2013,P124,ABD KHALID BIN IBRAHIM,PKR,44067
1253,2013,P125,TENGKU ADNAN BIN TENGKU MANSOR,UMNO,9943
1254,2013,P125,HUSAM BIN MUSA,PAS,4402
1255,2013,P126,ZAINUDIN BIN ISMAIL,UMNO,22114
1256,2013,P126,RAJ MUNNI BINTI SABU,PAS,15013
1257,2013,P127,WAN AISHAH BINTI WAN ARIFFIN,PAS,22495
1258,2013,P127,MOHD ISA BIN ABDUL SAMAD,UMNO,31109
1259,2013,P128,ABDUL HALIM BIN ABDULLAH,BERJASA,6866
1260,2013,P128,JOHN A/L FERNANDEZ,IND,221
1261,2013,P128,BUJANG BIN ABU,IND,83
1262,2013,P128,LOKE SIEW FOOK,DAP,45628
1263,2013,P128,YEOW CHAI THIAM,MCA,33075
1264,2013,P129,HASAN BIN MALEK,UMNO,24507
1265,2013,P129,MOHD NAZREE BIN MOHD YUNUS,PKR,14846
1266,2013,P130,TEO ENG KIAN,MCA,25479
1267,2013,P130,TEO KOK SEONG,DAP,48964
1268,2013,P131,ABDUL AZIZ BIN HASSAN,IND,325
1269,2013,P131,KHAIRY JAMALUDDIN ABU BAKAR,UMNO,43053
1270,2013,P131,RADZALI BIN A. GHANI,PKR,24696
1271,2013,P132,KAMARUDIN KUMARAVEL BIN ABDULLAH,IND,394
1272,2013,P132,KAMARUL BAHARIN BIN ABBAS,PKR,29848
1273,2013,P132,MOGAN A/L VELAYATHAM,MIC,28269
1274,2013,P133,ABDUL RAZAKEK BIN ABDUL RAHIM,PAS,18228
1275,2013,P133,SHAZIMAN BIN ABU MANSOR,UMNO,29390
1276,2013,P134,MAS ERMIEYATI BINTI SAMSUDIN,UMNO,27688
1277,2013,P134,MOHD NASAIE BIN ISMAIL,PAS,11488
1278,2013,P135,DAMIAN YEO SHEN LI,DAP,20997
1279,2013,P135,KOH NAI KWONG,MCA,32594
1280,2013,P136,ABU BAKAR BIN MOHAMAD DIAH,UMNO,39468
1281,2013,P136,RAHIM BIN ALI,PKR,23835
1282,2013,P137,SHAMSUL ISKANDAR @ YUSRE BIN MOHD AKIN,PKR,46167
